,id,film,year,awards,nominations
0,a68be747-0974-4881-a732-eead51a1588f,Oppenheimer,2023,7,13
1,187ae60c-d95e-4706-8638-58d5eef4a645,Poor Things,2023,4,11
2,7f9407ed-f1b5-4c0c-811d-79c730f1a3e6,The Zone of Interest,2023,2,5
3,a94618c5-d66f-4e60-8c56-6af2ea5b5e12,American Fiction,2023,1,5
4,34fbf2e6-bc43-4b77-9bca-dfba39b7b85e,Anatomy of a Fall,2023,1,5
5,51070375-54bf-441a-af04-a2c4cbc4443c,Barbie,2023,1,8
6,3f9d2e5b-a9be-4234-afe2-66a0aef088f0,The Boy and the Heron,2023,1,1
7,5bc1f86f-504a-4d3c-9b7b-24783808859b,Godzilla Minus One,2023,1,1
8,ff30e71d-a3b0-49e7-b0d8-3d9456c63c47,The Holdovers,2023,1,5
9,c36c262d-c15f-4d08-8403-ca7fa66d53dc,The Last Repair Shop,2023,1,1
10,da5cc9c5-9f3d-4d1c-99bb-cf0dba072587,20 Days in Mariupol,2023,1,1
11,12a4c26b-978e-460a-99d9-d98049124444,War Is Over! Inspired by the Music of John and Yoko,2023,1,1
12,d5af7453-38fe-4d33-ba70-000d61bf17c2,The Wonderful Story of Henry Sugar,2023,1,1
13,7138458a-55ea-4187-94b0-964aca4f2f12,Everything Everywhere All at Once,2022,7,11
14,9060a98a-1f57-4035-b5bd-14e4978640f9,All Quiet on the Western Front,2022,4,9
15,3b42c365-fcea-44a2-9c80-c1c6d6d4ae55,The Whale,2022,2,3
16,c09ba9a0-5d8a-4c93-8c86-a97d1af3cfd3,Top Gun: Maverick,2022,1,6
17,64c84758-f9db-4288-8c36-e0206a4fc348,Black Panther: Wakanda Forever,2022,1,5
18,a21c1579-9aa4-45dd-813a-7052fea0cc06,Avatar: The Way of Water,2022,1,4
19,4d5b0920-bc85-4c2e-817d-6f0c743dc6a8,Women Talking,2022,1,2
20,9bbdfc9b-6754-4d0d-9fd1-a7efadcf7e11,Guillermo del Toro's Pinocchio,2022,1,1
21,2fe2347b-5a20-4c1c-aa37-37965de1312a,Navalny,2022,1,1
22,2bf4579b-4524-4b02-8591-58de14f2ce57,The Elephant Whisperers,2022,1,1
23,5b174087-2139-453a-a0b4-45a67be47a83,An Irish Goodbye,2022,1,1
24,304d1669-a9aa-4524-b5c9-54f24269b033,"The Boy, the Mole, the Fox and the Horse",2022,1,1
25,8435b2e3-1d16-4251-878b-6822c970f424,RRR,2022,1,1
26,d296e057-cec1-4cf1-9540-1ccf5f8fbd26,CODA,2021,3,3
27,979a2423-d26c-40f1-a45f-2b9dc3b56715,Dune,2021,6,10
28,e04e329a-dfe6-45b7-af13-80a8f5875ed4,The Eyes of Tammy Faye,2021,2,2
29,85e41410-a6c1-4418-bce2-da120a69aba1,No Time to Die,2021,1,3
30,e2350c17-02dd-4fa1-b5d5-f3b64ba5e93e,The Windshield Wiper,2021,1,1
31,df8a6a62-f5e1-4956-b3f3-8049709fa451,The Long Goodbye,2021,1,1
32,cb8838a7-c15a-4857-953b-d715b1a9b7a9,The Queen of Basketball,2021,1,1
33,f3001a46-b36c-4a73-9092-b79a7d28564c,Summer of Soul,2021,1,1
34,d97a4c29-14c2-42f3-a1be-e96301b2611f,Drive My Car,2021,1,4
35,e5ecd344-ec21-48b4-81d3-5c6f0422071e,Encanto,2021,1,3
36,6324ae49-ee78-4572-a6a2-589394dbd7ab,West Side Story,2021,1,7
37,891b4db5-64fc-48f7-ba7e-d77ace794745,Belfast,2021,1,7
38,c3a2b5cf-99a2-4539-a98f-df45ba8621da,The Power of the Dog,2021,1,12
39,f8f990c2-fed5-4ab0-ac4f-24226344548b,King Richard,2021,1,6
40,ec1a9cf6-bfbf-4a07-a45a-c0e274d8565c,Cruella,2021,1,2
41,568eb5c0-3d20-41cd-982e-e0866abe974a,Nomadland,2020/21,3,6
42,efad4a12-3606-4193-8d78-a58c7a97d466,The Father,2020/21,2,6
43,c29697bd-4e48-44dc-8277-8eac6ff8f1c3,Judas and the Black Messiah,2020/21,2,6
44,d41782b7-2e90-40b1-9512-0d61e22c2de1,Minari,2020/21,1,6
45,2e91a571-1b09-4a26-b2e9-54c0b6c60ef8,Mank,2020/21,2,10
46,288450d2-2df3-4eef-a73b-a25aa4ab2a47,Sound of Metal,2020/21,2,6
47,5148b86f-fa7d-4213-a2a9-0635346fbf90,Ma Rainey's Black Bottom,2020/21,2,5
48,b038c4c5-104a-4e45-8834-8370f169f762,Promising Young Woman,2020/21,1,5
49,170576b5-4249-40c2-96d0-975e10cb11f0,Tenet,2020/21,1,2
50,89f0489e-07f5-4ec2-b14f-093a67b9993e,Soul,2020/21,2,3
51,efed143b-572f-4da5-a59a-3556dca15c9e,Another Round,2020/21,1,2
52,ab23e2fe-83e1-44d4-9f2e-bf88af90566b,My Octopus Teacher,2020/21,1,1
53,840e93ce-bdbf-4b2a-a75e-75e2a27ff97e,Colette,2020/21,1,1
54,b81a2eb8-fcd7-4e9b-b6da-56d341b57dcb,If Anything Happens I Love You,2020/21,1,1
55,999cad53-2c97-4f1f-a4a3-e253d80ffa56,Two Distant Strangers,2020/21,1,1
56,9e16609a-984c-49da-8a7c-104f358eeb88,Parasite,2019,4,6
57,6ffd986e-b517-44b9-a41a-a44babe0ad9f,Ford v Ferrari,2019,2,4
58,36454b18-38f7-4970-b214-9c51d4587cb1,Learning to Skateboard in a Warzone (If You're a Girl),2019,1,1
59,76ec9255-e99f-417f-b53d-e9919e9035ce,The Neighbors' Window,2019,1,1
60,e0ded773-5f6a-4625-9d6a-4c337bf574bf,Little Women,2019,1,6
61,5fe179bf-2c00-4581-a39d-12a425005fd7,Marriage Story,2019,1,6
62,cd802a6e-40c4-4ff7-9ca2-b30341d9b7a5,Jojo Rabbit,2019,1,6
63,208074fa-f28a-49d9-9c9a-3b5bbe3f7e5b,Toy Story 4,2019,1,2
64,499fc4d0-aa12-4153-914d-ac0d9655f090,Joker,2019,2,11
65,78e65779-092e-443c-b702-f53780167bb2,Once Upon a Time in Hollywood,2019,2,10
66,df1ee673-38b5-4dd5-ab98-009086123ed8,1917,2019,3,10
67,ac10db32-1fcf-4f0b-843b-23dbf65a4308,Judy,2019,1,2
68,f14a4539-ed02-4199-b703-734ff0adbe41,Bombshell,2019,1,3
69,d695e63c-480a-404b-90bb-cdf87908536f,Rocketman,2019,1,1
70,7d37b470-4320-49dd-ab56-f478fda20894,American Factory,2019,1,1
71,4c591fe7-707b-4de9-b220-c075cee50731,Hair Love,2019,1,1
72,0ae4e6bc-e951-41f9-96c2-3403db6c8def,Green Book,2018,3,5
73,4966c5a2-2ab6-48a5-985e-325bcff1e8f3,Bohemian Rhapsody,2018,4,5
74,5e1fceb7-dab7-4d15-85a4-f63961ee5dd6,Roma,2018,3,10
75,4c361cdc-b3e3-482e-ad71-1440247a9db0,Black Panther,2018,3,7
76,d037b49b-2544-4628-825b-8bab39ef438b,The Favourite,2018,1,10
77,2707a447-89f8-4b88-89d3-878a97fae206,A Star Is Born,2018,1,8
78,fad5f395-54e1-4a7c-8c6d-9bab363122d0,Vice,2018,1,8
79,f339cd00-7db5-4333-866e-c7b993c0cd2d,BlacKkKlansman,2018,1,6
80,fa9c5386-fd40-4fe3-86e2-bb7823c8d732,First Man,2018,1,4
81,268263db-f825-4322-9be6-e0b3143b02d6,If Beale Street Could Talk,2018,1,3
82,6e18bcdf-226f-4e98-a1f9-b0afbdd75319,Bao,2018,1,1
83,080e59ed-5697-400e-bc56-d44615cb4ddf,Free Solo,2018,1,1
84,4f49012b-2947-4288-8ea4-42baf0683b99,Period. End of Sentence.,2018,1,1
85,a828a6cb-e39d-4f8e-85f5-64d84f9d4986,Skin,2018,1,1
86,3730584f-0e24-469f-ad1f-9f7dcabd7f09,Spider-Man: Into the Spider-Verse,2018,1,1
87,46691451-506d-4df0-8896-43b29305c551,The Shape of Water,2017,4,13
88,3ace1a68-bc73-4f0e-b3b8-5f36e098e51f,Dunkirk,2017,3,8
89,008f3018-75d3-4945-87a4-4c4cccef07f7,"Three Billboards Outside Ebbing, Missouri",2017,2,7
90,2c6613fc-4674-42ac-ae0e-391ac1e0647a,Darkest Hour,2017,2,6
91,b8c56c34-6c6e-4907-9423-7eefdbcd2d95,Blade Runner 2049,2017,2,5
92,050b9ebb-e19b-4584-8e5e-dc2459a13ecf,Coco,2017,2,2
93,f45e3ea0-983b-47c4-ab85-7ee28291f7ad,Phantom Thread,2017,1,6
94,164a55a6-bbd4-47fb-8993-06d9d8d06099,Call Me by Your Name,2017,1,4
95,c2c31e32-825b-435a-b06a-e91ac8abd400,Get Out,2017,1,4
96,0bdfbb93-07c6-4c76-ba70-5bf7f1eb3e20,"I, Tonya",2017,1,3
97,e2e43486-f0d6-4104-84e1-8c67f9a302b1,Dear Basketball,2017,1,1
98,64027fc6-298d-4dd7-9a4d-eaf595983ab9,A Fantastic Woman,2017,1,1
99,dea8d51b-aee1-41f0-8ec6-c12bf2e1fa50,Heaven Is a Traffic Jam on the 405,2017,1,1
100,07c0d463-fc60-4103-994b-2f8f29023a71,Icarus,2017,1,1
101,3f76c874-0f0d-41e8-98a2-79344a785951,The Silent Child,2017,1,1
102,c928099a-7e51-4359-aea9-a9cb8cd5d3ac,Flesh and Sand (Carne y arena),2017,0 (1)[1],0
103,9706931b-b0e8-4aaf-a69c-d2fb7288850b,Moonlight,2016,3,8
104,edf638bf-b1f4-4f73-acb4-d4a472aedcef,La La Land,2016,6,14
105,92e73c91-d192-422b-a067-caccc940d75a,Hacksaw Ridge,2016,2,6
106,697460f2-ec0a-47d9-8336-0a6a1e147608,Manchester by the Sea,2016,2,6
107,e6c1dd1a-4595-4ef8-8229-063c72b92a78,Arrival,2016,1,8
108,11fbfcb3-c856-4815-b449-d5fc9e292a90,Fences,2016,1,4
109,2eedf053-9f5c-4bc3-abec-e44411d112af,Fantastic Beasts and Where to Find Them,2016,1,2
110,cc5c28a2-5e1e-421a-b4de-11f80f6f1b27,The Jungle Book,2016,1,1
111,0096c6d9-288f-4edd-b305-59ee352ba69f,O.J.: Made in America,2016,1,1
112,2332aa50-15aa-4346-a69e-b7581307f23b,Piper,2016,1,1
113,42fa993b-f595-46bf-97ee-0ba75acd3bb6,The Salesman,2016,1,1
114,b8a11a23-a6f5-4563-96d7-5adb0ac8472b,Sing,2016,1,1
115,61e57688-2ec3-408b-a4b7-70b026a9fca9,Suicide Squad,2016,1,1
116,f2711cfa-e71b-4196-9e93-dd751310d47b,The White Helmets,2016,1,1
117,adaf4b9f-d56d-4103-841c-1e2cb69b84bc,Zootopia,2016,1,1
118,5e50a761-2886-44e2-995b-ac6a902003ed,Spotlight,2015,2,6
119,70299782-96e7-4a54-8687-a7685096c69e,Mad Max: Fury Road,2015,6,10
120,c5d9b85d-4e18-4736-ad13-dc58bc558c00,The Revenant,2015,3,12
121,2261255a-ac25-4f5d-9f80-73f1977e8303,Bridge of Spies,2015,1,6
122,314fe6d5-5945-4481-8027-d7f3c857fa03,The Big Short,2015,1,5
123,abb343b3-187f-4955-a14d-22ca7078a149,The Danish Girl,2015,1,4
124,9bc47bf1-1dae-441f-91be-6ea3a76a06ab,Room,2015,1,4
125,05d5e258-4800-4cc8-929b-da2d41aad7a5,The Hateful Eight,2015,1,3
126,bec732a0-e73f-46ec-910f-7e828ea833bf,Ex Machina,2015,1,2
127,b47a1a3b-72fb-48c1-b2a8-78824f8d563c,Inside Out,2015,1,2
128,c4c04785-9010-479c-ba79-0c62386607a3,Amy,2015,1,1
129,cc017586-a9b3-4dfe-ad3c-97495a33aed8,Bear Story,2015,1,1
130,1e613fa2-4366-43ed-8275-583da8c04e80,A Girl in the River: The Price of Forgiveness,2015,1,1
131,0de59822-fab6-447b-ab51-b62fe44caa63,Son of Saul,2015,1,1
132,e4bde42e-2b0a-4bd1-82be-b4f97122aa4f,Spectre,2015,1,1
133,09d1b6e0-8a68-4bdb-a6d8-97240fee62c2,Stutterer,2015,1,1
134,774364d3-a013-414e-8699-fff46067cb06,Birdman or (The Unexpected Virtue of Ignorance),2014,4,9
135,1fbf5bfe-dd94-4c80-b3d7-049cf01f5975,The Grand Budapest Hotel,2014,4,9
136,60cbbf1f-8b19-48a6-996a-50a9e2619b1a,Whiplash,2014,3,5
137,1319caf9-b5df-44d7-a1f2-f29e0dc5dda4,The Imitation Game,2014,1,8
138,bacd1d66-d50b-436c-be1e-f385c7766ff0,American Sniper,2014,1,6
139,a9a8e2f4-1926-4dc0-930e-878c7f5a7e09,Boyhood,2014,1,6
140,02ad4009-f22c-4624-869b-367ca3d86b5e,Interstellar,2014,1,5
141,aa8c3a3f-cc94-4773-b04e-c60395021e9a,The Theory of Everything,2014,1,5
142,57f8a3bb-9f1d-4f69-9cdc-9ae2df6bfec9,Ida,2014,1,2
143,a498275c-873e-4483-9b4e-a51d2f2a48db,Selma,2014,1,2
